name,link,ingredients,steps,nutrition,image_url
Simple Cantaloupe Smoothie,https://www.allrecipes.com/recipe/238339/simple-cantaloupe-smoothie/,"{'quantity': '1', 'unit': 'cup', 'name': 'vanilla yogurt (such as Dannon® Light and Fit®)'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced cantaloupe'}, {'quantity': '4', 'unit': '', 'name': 'ice cubes, crushed, or as needed'}","Process yogurt, orange juice, cantaloupe, and ice cubes in a blender until smooth, about 30 seconds.","calories: 291, fat: 4g, carbs: 53g, protein: 14g, servings: 1",https://www.allrecipes.com/thmb/q3ceS6BCGDtgXIXkhnUxwtC32lk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1221609-2f1489bc6ec24e39842465b25a76ee23.jpg
"Delicious, Healthy Strawberry Shake",https://www.allrecipes.com/recipe/20816/delicious-healthy-strawberry-shake/,"{'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen strawberries'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Combine milk, strawberries, honey, and vanilla in a blender. Blend until smooth.. Pour into glasses and serve.","calories: 186, fat: 5g, carbs: 27g, protein: 8g, servings: 2",https://www.allrecipes.com/thmb/3JB5nGgpQciN2JcQpkYcGMUQlPo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Delicious-Healthy-Strawberry-Shake-Yoly-2000-7a3028d448b743ffaa7a378a53cf6376.jpg
Strawberry Banana Protein Shake,https://www.allrecipes.com/recipe/244960/strawberry-banana-protein-shake/,"{'quantity': '1', 'unit': 'cup', 'name': 'skim milk'}, {'quantity': '1', 'unit': 'scoop', 'name': 'vanilla-flavored whey protein powder'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '1', 'unit': 'cup', 'name': 'strawberries'}, {'quantity': '1', 'unit': 'large', 'name': 'banana'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'natural peanut butter'}","Layer milk, protein powder, ice, strawberries, banana, and peanut butter in a blender in this order; blend until creamy and smooth.","calories: 261, fat: 5g, carbs: 31g, protein: 26g, servings: 2",https://www.allrecipes.com/thmb/wTao3HNeTIM8wb8F0m-6WScmwa0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5064472-strawberry-banana-protein-shake-CoachJen-4x3-1-df8495ed80ab4b618155dc3f8165d172.jpg
"Blueberry, Banana, and Peanut Butter Smoothie",https://www.allrecipes.com/recipe/186813/blueberry-banana-and-peanut-butter-smoothie/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'flaxseed meal'}, {'quantity': '1', 'unit': '', 'name': 'banana'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen blueberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'honey'}","Put flaxseed meal into a blender to grind and further break down.. Place banana, milk, blueberries, yogurt, peanut butter, and honey into the blender. Cover and purée until smooth.. Pour into glasses to serve.","calories: 251, fat: 9g, carbs: 34g, protein: 11g, servings: 2",https://www.allrecipes.com/thmb/cAlahOHGHxB8RJEDEkgv-881I2g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Blueberry-Banana-and-Peanut-Butter-Smoothie-2000-8126cf78d29a4455a39a68404f71fc6e.jpg
Strawberry Banana Peanut Butter Smoothie,https://www.allrecipes.com/recipe/150121/strawberry-banana-peanut-butter-smoothie/,"{'quantity': '½', 'unit': 'cup', 'name': 'nonfat plain yogurt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '1', 'unit': '', 'name': 'banana'}, {'quantity': '4', 'unit': '', 'name': 'fresh strawberries, hulled'}, {'quantity': '10', 'unit': '', 'name': 'ice cubes'}","Place yogurt, peanut butter, banana, strawberries, and ice cubes into a blender. Puree until smooth.","calories: 389, fat: 19g, carbs: 46g, protein: 16g, servings: 1",https://www.allrecipes.com/thmb/_B5FtjkEuU1Z3qVTLgwGKGNqSvk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4508285-5783d49226ec4285a8966303d6f90971.jpg
Strawberry Raspberry Smoothie,https://www.allrecipes.com/recipe/231749/strawberry-raspberry-smoothie/,"{'quantity': '1', 'unit': 'cup', 'name': 'hulled fresh strawberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen raspberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'lowfat milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'vanilla yogurt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Blend strawberries, raspberries, milk, yogurt, honey, and vanilla together in a blender until smooth.","calories: 318, fat: 5g, carbs: 59g, protein: 12g, servings: 1",https://www.allrecipes.com/thmb/VqQU9LXAmm11pi_OwxNyShDbgzU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8148931-2ed6a660cb044075a72107fa335b88f4.jpg
"Cocoa, Banana, and Peanut Butter Smoothie",https://www.allrecipes.com/recipe/244224/healthy-cocoa-banana-pb-smoothie/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': '', 'name': 'chopped frozen banana, or more to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'honey'}","Blend together milk, frozen banana, peanut butter, cocoa powder, and honey in a blender until smooth.","calories: 397, fat: 22g, carbs: 40g, protein: 18g, servings: 1",https://www.allrecipes.com/thmb/SKYqV3L3WiqoR9Dl6xFf1Wp6Tn0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2318489-healthy-cocoa-banana-pb-smoothie-Paula-4x3-1-6285cc0fb0ef4df2b72fa6bedbce6d2b.jpg
Simple Summer Smoothie,https://www.allrecipes.com/recipe/172463/simple-summer-smoothie/,"{'quantity': '1', 'unit': '', 'name': 'banana'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen strawberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen blueberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen cherries'}, {'quantity': '4', 'unit': '', 'name': 'ice cubes'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vanilla yogurt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'honey (Optional)'}","Place the banana, strawberries, blueberries, cherries, and ice cubes into a blender. Pour in the orange juice, vanilla yogurt, and honey. Puree until smooth.","calories: 139, fat: 1g, carbs: 31g, protein: 4g, servings: 4",https://www.allrecipes.com/thmb/LTfr8Z4Pq79_FgbP6A3AJAASPTg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4883666-simple-summer-smoothie-Chef-V-4x3-1-f08fef2c92ff488ba3178dc4330e04f8.jpg
Melon Smoothie,https://www.allrecipes.com/recipe/32450/melon-smoothie/,"{'quantity': '¼', 'unit': '', 'name': 'cantaloupe - peeled, seeded and cubed'}, {'quantity': '¼', 'unit': '', 'name': 'honeydew melon - peeled, seeded and cubed'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sugar'}","In a blender, combine cantaloupe, honeydew, lime juice and sugar. Blend until smooth. Pour into glasses and serve.","calories: 70, fat: 0g, carbs: 18g, protein: 1g, servings: 4",https://www.allrecipes.com/thmb/fYxUu453NnTl5dAZlweMmvFPLrM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/14238-3677ab96cf16492b8e21311e73edd729.jpg
Apple Banana Smoothie,https://www.allrecipes.com/recipe/20610/apple-banana-smoothie/,"{'quantity': '1', 'unit': 'medium', 'name': 'Gala apple, peeled, cored and chopped'}, {'quantity': '1', 'unit': None, 'name': 'frozen banana, peeled and chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}","Gather all ingredients.. Combine apple, frozen banana, orange juice, and milk in a blender; blend until smooth.. Pour into glasses to serve. Enjoy!","calories: 145, fat: 1g, carbs: 33g, protein: 2g, servings: 2",https://www.allrecipes.com/thmb/MAIoWT979LQHzjevGA6AHMQaSEc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM-20610-apple-banana-smoothie-ddmfs-step4-3x4-13278-f8660e64c8704d06b02e8215bf9afeb9.jpg
