name,link,ingredients,steps,nutrition
Ultimate Frozen Strawberry Margarita,https://www.allrecipes.com/recipe/24494/ultimate-frozen-strawberry-margarita/,"{'quantity': '2', 'unit': 'cups', 'name': 'ice cubes, or as needed'}, {'quantity': '6', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'triple sec'}, {'quantity': '8', 'unit': 'ounces', 'name': 'frozen sliced strawberries in syrup'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'frozen limeade concentrate'}",,
Tamarind Margarita,https://www.allrecipes.com/tamarind-margarita-recipe-7966103,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'chili-lime seasoning (such as Tajin®)'}, {'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice, or as needed'}, {'quantity': '2', 'unit': 'ounces', 'name': 'tamarind paste concentrate'}, {'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': None, 'name': 'agave nectar'}, {'quantity': '1', 'unit': None, 'name': 'lime juice'}, {'quantity': '1/2', 'unit': 'ounce', 'name': 'triple sec'}","Sprinkle chili-lime seasoning onto a plate. Moisten the rim of a glass with the lime wedge. Press the moistened rim into the seasoning. Fill glass with ice.. Fill a cocktail shaker half-full with ice. Add tamarind paste, tequila, agave nectar, lime juice and triple sec to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds. Strain mixture into the glass. Garnish with the lime wedge.","calories: 402, fat: 1g, carbs: 75g, protein: 3g, servings: 1"
Breakfast Margarita,https://www.allrecipes.com/breakfast-margarita-recipe-8742323,"{'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1/2', 'unit': 'fluid ounce', 'name': 'orange liqueur, such as Cointreau'}, {'quantity': '1', 'unit': None, 'name': 'orange, juiced'}, {'quantity': '1/2', 'unit': None, 'name': 'lime, juiced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'orange marmalade'}, {'quantity': None, 'unit': None, 'name': 'orange slice, for garnish'}","Fill a shaker halfway with ice; pour in tequila, orange liqueur, orange juice, and lime juice. Shake until the outside of the shaker is frosted, 15 to 30 seconds. Pour into a glass; garnish with an orange slice.","calories: 392, fat: 1g, carbs: 67g, protein: 4g, servings: 1"
Blackberry Margarita,https://www.allrecipes.com/blackberry-margarita-recipe-8717118,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '12', 'unit': None, 'name': 'blackberries'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'simple syrup'}, {'quantity': '3/4', 'unit': 'fluid ounces', 'name': 'lime juice'}","Sprinkle salt onto a plate. Moisten the rim of a glass with lime wedge. Press the moistened rim into the salt. Fill the glass with ice.. Fill a cocktail shaker with 10 blackberries, reserving 2 blackberries for garnish. Use a muddler to crush berries to release their juices. Add tequila, triple sec, simple syrup and lime juice to the shaker and add 1 cup of ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain margarita into the glass and garnish with remaining blackberries.","calories: 309, fat: 1g, carbs: 37g, protein: 2g, servings: 1"
Margarita Cocktail,https://www.allrecipes.com/recipe/222416/margarita-cocktail/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'orange flavored liqueur (such as Cointreau®)'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice'}, {'quantity': '1', 'unit': '', 'name': 'lime wheel'}","Gather all ingredients.. Sprinkle salt on a small plate. Lightly wet the rim of a cocktail glass or margarita glass with a damp paper towel. Dip the moistened rim in salt to coat. Set aside.. Combine tequila, orange-flavored brandy, and lime juice in a cocktail shaker. Add ice and shake until chilled. Strain into a salt-rimmed cocktail glass or a salt-rimmed, ice-filled margarita glass. Garnish with a lime wheel.","calories: 202, fat: 0g, carbs: 14g, protein: 0g, servings: 1"
Prickly Pear Cactus Margarita,https://www.allrecipes.com/recipe/234490/prickly-pear-cactus-margarita/,"{'quantity': None, 'unit': None, 'name': 'coarse salt as needed'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'sweet and sour mix'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'prickly pear syrup'}","Pour salt onto a small plate. Wet the rim of a margarita glass and dip rim into salt.. Fill a cocktail shaker with ice; pour tequila, sweet and sour mix, triple sec, lime juice, and prickly pear syrup over ice. Cover shaker and shake drink; strain into prepared margarita glass.","calories: 423, fat: 0g, carbs: 56g, protein: 0g, servings: 1"
Jalapeño Margaritas,https://www.allrecipes.com/recipe/218313/jalapeno-margaritas/,"{'quantity': '', 'unit': '', 'name': 'kosher salt'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'triple sec'}, {'quantity': '2', 'unit': '', 'name': 'limes, juiced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'agave nectar'}, {'quantity': '½', 'unit': '', 'name': 'jalapeno pepper, seeded and diced'}, {'quantity': '1', 'unit': '', 'name': 'limes, cut into wedges'}",,"calories: 298, fat: 0g, carbs: 32g, protein: 1g, servings: 2"
We Tried 13 Types of Margarita Mix and This Was Our Favorite,https://www.allrecipes.com/longform/best-margarita-mix/,,,
Keto Margarita,https://www.allrecipes.com/recipe/266764/keto-margarita/,"{'quantity': '3', 'unit': 'cups', 'name': 'ice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'low-calorie natural sweetener (such as Swerve®)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coarse salt'}, {'quantity': '2', 'unit': '', 'name': 'lime wedges'}, {'quantity': '', 'unit': '', 'name': '1 pint-sized Mason jar'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'orange-flavored sparkling water (such as La Croix®)'}","Fill a shaker half-full with ice. Add tequila, lime juice, and sweetener to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Place salt on a plate. Run 1 lime wedge along the rim of the Mason jar. Press the rim down into salt. Fill the jar with ice cubes.. Strain margarita into the jar. Top with sparkling water; stir. Garnish with remaining lime wedge.","calories: 142, carbs: 4g, protein: 0g, servings: 1"
Beer Margaritas,https://www.allrecipes.com/recipe/63191/beer-margaritas/,"{'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'frozen limeade concentrate'}, {'quantity': '12', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '12', 'unit': 'fluid ounces', 'name': 'water, or more as needed'}, {'quantity': '12', 'unit': 'fluid ounces', 'name': 'beer'}, {'quantity': '', 'unit': '', 'name': 'ice'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into wedges'}","Gather all ingredients.. Pour limeade concentrate, tequila, water, and beer into a large pitcher. Stir until limeade has melted.. Add plenty of ice to the pitcher and garnish with lime wedges. Adjust with additional water if needed.",
