,foodname,serving,image,calories,protein,fat,carb,sodium,fibre
869,Slow cooker French onion chicken and cheese melt,10,https://img.taste.com.au/GDlwfif2/w720-h480-cfill-q80/taste/2023/04/slow-cooker-french-onion-chicken-and-cheese-melt-recipe-1-186375-1.jpg,1781 kj (426cal),35.9g,28.3g,5.6g,739.1mg,0.3g
870,Chicken with potato cakes,4,https://img.taste.com.au/tBcJQwbW/w720-h480-cfill-q80/taste/2016/11/chicken-with-potato-cakes-80637-1.jpeg,1503 kj (359cal),26.5g,10.8g,38.4g,423.4mg,5.7g
871,Easy lamb sausage caponata stew,4,https://img.taste.com.au/aV8ORYVG/w720-h480-cfill-q80/taste/2018/05/easy-lamb-sausage-caponata-stew-137258-1.png,2783 kj (665cal),29.8g,39.2g,42.6g,1065mg,10.9g
872,Lemony lamb tray bake,6,https://img.taste.com.au/z9ouw4Fq/w720-h480-cfill-q80/taste/2019/07/lemony-lamb-tray-bake-151527-1.jpg,1469 kj (351cal),27.0g,13.8g,37.0g,387.4mg,13.4g
873,Chorizo skewers with apple and chickpea salad,4,https://img.taste.com.au/oLgZ_EF5/w720-h480-cfill-q80/taste/2016/11/chorizo-skewers-with-apple-and-chickpea-salad-82447-1.jpeg,3222 kj (770cal),36.9g,49.5g,43.3g,1.7g,13.4g
874,Smoked salmon tart,8,https://img.taste.com.au/0OgPVh_e/w720-h480-cfill-q80/taste/2016/11/smoked-salmon-tart-96597-1.jpeg,1710 kj (409cal),14.7g,28.5g,23.4g,611.3mg,1.1g
875,Sour cherry and hazelnut panforte slab,48,https://img.taste.com.au/5nULTbK-/w720-h480-cfill-q80/taste/2017/11/sour-cherry-and-hazelnut-panforte-slab-132438-1.jpg,32410 kj (7746cal),133.3g,321.4g,"1,139.2g",294.1mg,105.3g
876,"Honey-roasted pear, hazelnut and blue cheese salad",8,https://img.taste.com.au/3aYLzAsK/w720-h480-cfill-q80/taste/2016/11/honey-roasted-pear-hazelnut-and-blue-cheese-salad-31037-1.jpeg,1128 kj (270cal),8.0g,17.7g,21.7g,312.4mg,5.3g
877,One-pot vegetarian spaghetti &amp; meatballs,5,https://content.api.news/v3/images/bin/f81344dc1e546b2fcbc921fee021b2ba,2407 kj (575cal),24.9g,25.3g,66.2g,1.3g,8.6g
878,Barbecued cumin and coriander crusted lamb racks,4,https://img.taste.com.au/x3BQyAdN/w720-h480-cfill-q80/taste/2016/11/barbecued-cumin-and-coriander-crusted-lamb-racks-4589-1.jpeg,3271 kj (782cal),50.2g,56.0g,23.3g,527.8mg,7.5g
