name,link,ingredients,steps,nutrition,image_url
Classic Old Fashioned,https://www.allrecipes.com/recipe/162397/classic-old-fashioned/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'simple syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '2', 'unit': 'dashes', 'name': 'bitters'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes'}, {'quantity': '1', 'unit': '(1.5 fluid ounce) jigger', 'name': 'bourbon whiskey'}, {'quantity': '1', 'unit': 'slice', 'name': 'orange'}, {'quantity': '1', 'unit': '', 'name': 'maraschino cherry'}",,,https://cdn.jwplayer.com/v2/media/bT6Im0ko/poster.jpg?width=720
The REAL Long Island Iced Tea,https://www.allrecipes.com/recipe/228491/the-real-long-island-iced-tea/,"{'quantity': '½', 'unit': 'fluid ounce', 'name': 'vodka'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'rum'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'gin'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'tequila'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'triple sec (orange-flavored liqueur)'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'sweet and sour mix'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'cola, or to taste'}, {'quantity': '1', 'unit': '', 'name': 'lemon slice'}",,"calories: 262, fat: 0g, carbs: 23g, protein: 0g, servings: 1",https://cdn.jwplayer.com/v2/media/B3bRcOQN/poster.jpg?width=720
Moscow Mule Cocktail,https://www.allrecipes.com/recipe/221310/moscow-mule-cocktail/,"{'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}, {'quantity': '½', 'unit': 'cup', 'name': 'ginger beer'}, {'quantity': '1', 'unit': '', 'name': 'lime wedge for garnish'}",,"calories: 153, carbs: 15g, protein: 0g, servings: 1",https://cdn.jwplayer.com/v2/media/rkCzoEQo/thumbnails/rgmHBwU3.jpg
The Real Mojito,https://www.allrecipes.com/recipe/147363/the-real-mojito/,"{'quantity': '10', 'unit': '', 'name': 'fresh mint leaves'}, {'quantity': '½', 'unit': 'medium', 'name': 'lime, cut into 3 wedges, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes, or as needed'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'white rum'}, {'quantity': '½', 'unit': 'cup', 'name': 'club soda, or as needed'}",,"calories: 203, fat: 0g, carbs: 29g, protein: 0g, servings: 1",https://cdn.jwplayer.com/v2/media/KAk1mmjv/thumbnails/FBBABMsB.jpg
Best Strawberry Daiquiri,https://www.allrecipes.com/recipe/32352/best-strawberry-daiquiri/,"{'quantity': '4', 'unit': 'ounces', 'name': 'frozen strawberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '⅛', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'rum'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon-lime flavored carbonated beverage'}, {'quantity': '6', 'unit': 'cups', 'name': 'ice, or as needed'}",,,https://cdn.jwplayer.com/v2/media/gONqk259/poster.jpg?width=720
Classic Frozen Strawberry Margarita,https://www.allrecipes.com/recipe/232855/classic-frozen-strawberry-margarita/,"{'quantity': '¼', 'unit': 'cup', 'name': 'sliced fresh strawberries'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes'}, {'quantity': '1', 'unit': 'wedge', 'name': 'lime'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}","Place strawberries, tequila, lime juice, triple sec, and 1 teaspoon sugar in a blender; blend until smooth.. Add ice cubes; blend on high until ice is crushed, about 15 seconds.. Rub lime wedge around the rim of a glass. Spread 1 teaspoon sugar onto a plate. Dip glass rim in sugar to coat; pour margarita into the glass.","calories: 206, fat: 0g, carbs: 21g, protein: 0g, servings: 1",https://www.allrecipes.com/thmb/hkXsRHHfv12G0TnXe-KjHF7xsEw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1041344-280570784e9b4d5583aa496fafe5f371.jpg
Bahama Mama,https://www.allrecipes.com/recipe/17309/bahama-mama/,"{'quantity': '1', 'unit': 'cup', 'name': 'crushed ice'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'pineapple juice'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'rum'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'coconut-flavored rum'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'grenadine syrup'}","Combine crushed ice, orange juice, pineapple juice, regular rum, coconut-flavored rum, and grenadine in a blender. Blend until the drink's consistency is slushy.",,https://cdn.jwplayer.com/v2/media/Lc6S5Goh/poster.jpg?width=720
Drunk German,https://www.allrecipes.com/recipe/23684/drunk-german/,"{'quantity': '2', 'unit': 'fluid ounces', 'name': 'jagermeister liqueur'}, {'quantity': '1', 'unit': '(12 fluid ounce) can or bottle', 'name': 'root beer'}",Pour Jagermeister into tall glass. Add root beer and stir.,,https://www.allrecipes.com/thmb/NzOJztP9YNobWjQnZdUB7x52e1M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8171517-c5c2a90d28584143bbcec0b69de2fdd9.jpg
Sangria! Sangria!,https://www.allrecipes.com/recipe/72612/sangria-sangria/,"{'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'dry red wine'}, {'quantity': '½', 'unit': 'cup', 'name': 'brandy'}, {'quantity': '½', 'unit': 'cup', 'name': 'triple sec'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'frozen lemonade concentrate'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar (Optional)'}, {'quantity': '1', 'unit': 'medium', 'name': 'orange, sliced into rounds'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, sliced into rounds'}, {'quantity': '1', 'unit': 'medium', 'name': 'lime, sliced into rounds'}, {'quantity': '8', 'unit': '', 'name': 'maraschino cherries'}, {'quantity': '2', 'unit': 'cups', 'name': 'carbonated water (Optional)'}",,,https://cdn.jwplayer.com/v2/media/TBisLRcY/poster.jpg?width=720
Mint Julep,https://www.allrecipes.com/recipe/49444/mint-juleps/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'roughly chopped fresh mint leaves'}, {'quantity': '8', 'unit': 'cups', 'name': 'crushed ice, or as needed'}, {'quantity': '32', 'unit': 'fluid ounces', 'name': 'Kentucky bourbon'}, {'quantity': '8', 'unit': 'sprigs', 'name': 'fresh mint for garnish'}",,"calories: 473, carbs: 50g, protein: 0g, servings: 8",https://cdn.jwplayer.com/v2/media/0isWMXp5/thumbnails/FQ8lL6J9.jpg
Tom Collins Cocktail,https://www.allrecipes.com/recipe/222511/tom-collins-cocktail/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'ice, divided'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'gin'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'simple syrup'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'club soda'}, {'quantity': '1', 'unit': '', 'name': 'lemon wedge'}",,"calories: 191, carbs: 13g, protein: 0g, servings: 1",https://cdn.jwplayer.com/v2/media/DFeeINUI/poster.jpg?width=720
